Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,549,67.211,0.0268
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,386,66.244,0.0253
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,375,3.771,0.0270
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,429,70.426,0.0269
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",142,65.831,0.0281
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,342,0.250,0.0268
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,366,66.415,0.0255
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,223,2.492,0.0265
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,183,64.057,0.0259
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,230,69.071,0.0281
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,242,1.074,0.0261
